imdb_id,movie_name,genre,cast
tt27012110,Gaslight,"Crime, Horror, Mystery","Sara Ali Khan, Vikrant Massey, Chitrangda Singh, Rahul Dev"
tt15245240,The Buckingham Murders,Thriller,"Kareena Kapoor, Keith Allen, Haqi Ali, Chris Wilson"
tt13818368,Fighter,"Action, Adventure, Thriller","Hrithik Roshan, Deepika Padukone, Anil Kapoor, Akarsh Alagh"
tt15302222,Bholaa,"Action, Adventure, Crime","Ajay Devgn, Tabu, Abhishek Bachchan, Amala Paul"
tt1024943,Om Shanti Om,"Action, Comedy, Drama","Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Kirron Kher"
tt0248126,Kabhi Khushi Kabhie Gham...,"Drama, Musical, Romance","Shah Rukh Khan, Kajol, Amitabh Bachchan, Hrithik Roshan"
tt24268454,The Kerala Story,Drama,"Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani"
tt13131350,Vikram Vedha,"Action, Crime, Drama","Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf"
tt0367110,"Swades: We, the People","Drama, Musical","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
tt3863552,Bajrangi Bhaijaan,"Action, Adventure, Comedy","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
tt27501039,Bloody Daddy,"Action, Crime, Drama","Shahid Kapoor, Vivan Bhatena, Diana Penty, Ronit Roy"
tt2980648,The Hundred-Foot Journey,"Comedy, Drama","Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon"
tt10811166,The Kashmir Files,Drama,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
tt22892546,Akelli,"Drama, Thriller","Nushrratt Bharuccha, Amir Boutrous, Nishant Dahiya, Vijay Kumar Dogra"
tt2283748,OMG: Oh My God!,"Comedy, Drama, Fantasy","Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
tt12915716,Adipurush,"Action, Adventure, Drama","Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage"
tt15073166,IB 71,"Action, Thriller","Anupam Kher, Vidyut Jammwal, Dalip Tahil, Nissar Khan"
tt5935704,Padmaavat,"Drama, History, Romance","Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari"
tt1562872,Zindagi Na Milegi Dobara,"Comedy, Drama, Musical","Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
tt2176013,Jab Tak Hai Jaan,"Drama, Romance","Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Lucy Phelps"
tt15128068,Monica O My Darling,"Comedy, Crime, Drama","Rajkummar Rao, Huma Qureshi, Sikandar Kher, Bagavathi Perumal"
tt14099334,Bhediya,"Comedy, Fantasy, Horror","Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal"
tt1562871,Ra.One,"Action, Adventure, Sci-Fi","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami"
tt10028196,Laal Singh Chaddha,"Comedy, Drama, Romance","Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf"
tt1285241,Don 2,"Action, Crime, Thriller","Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas"
tt15654262,Chup,"Crime, Drama, Mystery","Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt"
tt0172684,Kuch Kuch Hota Hai,"Comedy, Drama, Musical","Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
tt0461936,Don,"Action, Crime, Thriller","Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar"
tt0238936,Devdas,"Drama, Musical, Romance","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
tt8130968,Badla,"Crime, Drama, Mystery","Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel"
tt11905536,Gumraah,"Action, Crime, Drama","Aditya Roy Kapoor, Mrunal Thakur, Ronit Roy, Vedika Pinto"
tt2350496,The Lunchbox,"Drama, Romance","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
tt15576460,Zara Hatke Zara Bachke,"Comedy, Drama, Family","Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee"
tt0891592,Street Fighter: The Legend of Chun-Li,"Action, Crime, Fantasy","Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein"
tt13334578,Ganapath,"Action, Drama, Sci-Fi","Tiger Shroff, Himanshu Jaykar, Kriti Sanon, Amitabh Bachchan"
tt12735488,Kalki 2898-AD,"Action, Drama, Fantasy","Deepika Padukone, Amitabh Bachchan, Dulquer Salmaan, Disha Patani"
tt0347304,Kal Ho Naa Ho,"Comedy, Drama, Musical","Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
tt0361411,Bride & Prejudice,"Comedy, Drama, Musical","Martin Henderson, Aishwarya Rai Bachchan, Nadira Babbar, Anupam Kher"
tt6571548,The White Tiger,"Crime, Drama","Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
tt27989067,Lust Stories 2,"Drama, Romance","Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur"
tt3735246,Bajirao Mastani,"Action, Drama, History","Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi"
tt0195002,Kaun?,"Mystery, Thriller","Urmila Matondkar, Manoj Bajpayee, Sushant Singh"
tt5946128,Dear Zindagi,"Drama, Romance","Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
tt9052870,Chhichhore,"Comedy, Drama, Romance","Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar"
tt15145764,Freddy,"Drama, Mystery, Romance","Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
tt2178470,Yeh Jawaani Hai Deewani,"Comedy, Drama, Musical","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
tt7142506,Sir,"Drama, Romance","Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra"
tt14295590,Mrs. Chatterjee vs. Norway,"Biography, Drama","Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta"
tt0374887,Munna Bhai M.B.B.S.,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
